,placeId,placeName,linkPlaceId,pinCode,mandalName,latitude,longitude,stateCode,district
6193,238808,NALLACHERLOPALLI,238808,515511,MUDIGUBBA,14.3695720,77.9257820,AP,SRI SATHYA SAI
6194,222430,KUNDAKURU X ROAD,222430,524225,GUDUR,14.0787540,79.7202970,AP,TIRUPATHI
6195,1668662583633,OWK MODEL SCHOOL,1668662583633,518122,OWK,15.221110,78.113283,AP,NANDYAL
6196,222428,VEERLAGUDIPADU,222428,524322,SANGAM,14.592521,79.657763,AP,SPS NELLORE
6197,9441,MOPADU,9441,523105,PAMUR,15.1615270,79.8914730,AP,PRAKASAM
6198,1668804798945,YETHINABUDEHAL,1668804798945,583102,BALLARY,15.045481,76.983684,KA,KARNATAKA
6199,222433,PEDDAPADU,222433,524225,KALIGIRI,14.82413,79.757387,AP,SPS NELLORE
6200,1677473952863,SCREW BRIDGE,1677473952863,520010,VIJAYAWADA URBAN,16.49395,80.64668,AP,NTR
6201,222439,SINGAMALA,222439,517642,PELLAKURU,13.783858,79.739461,AP,TIRUPATHI
6202,222437,PUNNEPALLE,222437,524226,OJILI,13.949727,79.887305,AP,TIRUPATHI
6203,1668942590425,K M STONE 2,1668942590425,518395,ALUR,,,AP,KURNOOL
6204,9451,MOPIDEVI,9451,521125,MOPIDEVI,16.065878,80.923996,AP,KRISHNA
6205,222440,DAKSHANAMITTA,222440,524317,DAGADARTHI,14.625341,79.907094,AP,SPS NELLORE
6206,222446,KANTEPALLE,222446,524320,VENKATACHALAM,14.346201,79.959145,AP,SPS NELLORE
6207,238829,RODDAMVARI PALLI,238829,515601,CHILAMATHUR,13.838404,77.783187,AP,SRI SATHYA SAI
6208,222445,KANDAMUR X RAOD,222445,524004,NELLORE,14.460151,79.80514,AP,SPS NELLORE
6209,238828,PALAGALA PALLI,238828,515601,CHILAMATHUR,13.90926,77.80192,AP,SRI SATHYA SAI
6210,1677155949345,MILE STONE DOKIPARRU,1677155949345,521332,GUDLAVALLERU,,,AP,KRISHNA
6211,222444,KANCHERUVU,222444,524236,VARIKUNTAPADU,15.008446,79.358885,AP,SPS NELLORE
6212,222450,VELUPODU,222450,524240,DAGADARTHI,14.692451,79.911293,AP,SPS NELLORE
6213,1668607403447,BANNURU X ROAD,1668607403447,518401,NANDIKOTKUR,15.86527,78.40743,AP,NANDYAL
6214,222448,GUDIPADU,222448,524234,ANUMASAMUDRAMPETA,14.762209,79.661462,AP,SPS NELLORE
6215,1668769361686,BENDAPUDI,1668769361686,533406,THONDANGI,17.2636220,82.3769410,AP,KAKINADA
6216,9461,MORTHAD,9461,,,,,TS,HO
6217,222454,LINGANAPALEM,222454,524407,SYDAPURAM,14.163085,79.628651,AP,SPS NELLORE
6218,238837,KUNUKUNTLA,238837,515631,TADIMARRI,14.612158,77.891508,AP,SRI SATHYA SAI
6219,1678861911686,TALLURXROAD_1,1678861911686,524142,JALADANKI,14.751961,79.897162,AP,SPS NELLORE
6220,222452,WHITEKUPPAM,222452,524403,VAKADU,13.890701,80.212823,AP,TIRUPATHI
6221,222459,SATHA KODU,222459,523328,PULLALACHERUVU,16.1973570,79.4989470,AP,PRAKASAM
6222,238841,BANDAMEEDAPALLE,238841,515641,RAPTADU,14.493438,77.558658,AP,ANANTAPURAMU
6223,1668796100224,KATKURU,1668796100224,534444,VELERPADU,17.470699,81.343947,AP,ELURU
6224,222463,NALLAGUNTLA,222463,523331,DORNALA,15.874340,78.876940,AP,PRAKASAM
6225,222462,CHINNA GUDIPADU,222462,523331,DORNALA,15.8966830,79.1445030,AP,PRAKASAM
6226,238846,NIMMALAKUNTA,238846,515651,DHARMAVARAM,14.34091,77.74382,AP,SRI SATHYA SAI
6227,222461,CHILAKACHERLAGUDEM,222461,523331,DORNALA,15.882548,79.003793,AP,PRAKASAM
6228,238845,KANUMUKKALA,238845,515651,CHENNEKOTHAPALLE,14.30173,77.75443,AP,SRI SATHYA SAI
6229,238844,SOMARAVANDLAPALLI,238844,515641,KANAGANAPALLE,14.37128,77.42259,AP,SRI SATHYA SAI
6230,1691652586287,GANESUNIPALLI1,1691652586287,523112,CHANDRASEKHARA PURAM,15.137268,79.171698,AP,PRAKASAM
6231,222460,THIPPAYAPALEM,222460,523329,MARKAPUR,15.690899,79.179946,AP,PRAKASAM
6232,222467,YADAVALLI,222467,523331,DORNALA,15.9094422,79.0685773,AP,PRAKASAM
6233,222466,TUMMALABAILU,222466,523331,DORNALA,15.961757,78.931756,AP,PRAKASAM
6234,222465,SATLAMITTA,222465,523320,DORNALA,15.889974,79.237969,AP,PRAKASAM
6235,1668623738174,NAGASAMUDRAM CROSS ROAD,1668623738174,515401,GOOTY,15.113162,77.602564,AP,ANANTAPURAMU
6236,1668690846014,PALEM CROSS,1668690846014,515511,MUDIGUBBA,14.377174,78.094252,AP,SRI SATHYA SAI
